----------------------------------------------------------------
     Layer.Parameter         Param Tensor Shape         Param #
vae.decoder.egnn.e_block_5.gcl_0.att_mlp.0.weight                   [1, 192]             192
vae.decoder.egnn.e_block_5.gcl_0.att_mlp.0.bias                        [1]               1
vae.decoder.egnn.e_block_5.gcl_equiv.coord_mlp.0.weight                 [192, 386]           74112
vae.decoder.egnn.e_block_5.gcl_equiv.coord_mlp.0.bias                      [192]             192
vae.decoder.egnn.e_block_5.gcl_equiv.coord_mlp.2.weight                 [192, 192]           36864
vae.decoder.egnn.e_block_5.gcl_equiv.coord_mlp.2.bias                      [192]             192
vae.decoder.egnn.e_block_5.gcl_equiv.coord_mlp.4.weight                   [1, 192]             192
vae.decoder.egnn.e_block_6.gcl_0.edge_mlp.0.weight                 [192, 386]           74112
vae.decoder.egnn.e_block_6.gcl_0.edge_mlp.0.bias                      [192]             192
vae.decoder.egnn.e_block_6.gcl_0.edge_mlp.2.weight                 [192, 192]           36864
vae.decoder.egnn.e_block_6.gcl_0.edge_mlp.2.bias                      [192]             192
vae.decoder.egnn.e_block_6.gcl_0.node_mlp.0.weight                 [192, 384]           73728
vae.decoder.egnn.e_block_6.gcl_0.node_mlp.0.bias                      [192]             192
vae.decoder.egnn.e_block_6.gcl_0.node_mlp.2.weight                 [192, 192]           36864
vae.decoder.egnn.e_block_6.gcl_0.node_mlp.2.bias                      [192]             192
vae.decoder.egnn.e_block_6.gcl_0.att_mlp.0.weight                   [1, 192]             192
vae.decoder.egnn.e_block_6.gcl_0.att_mlp.0.bias                        [1]               1
vae.decoder.egnn.e_block_6.gcl_equiv.coord_mlp.0.weight                 [192, 386]           74112
vae.decoder.egnn.e_block_6.gcl_equiv.coord_mlp.0.bias                      [192]             192
vae.decoder.egnn.e_block_6.gcl_equiv.coord_mlp.2.weight                 [192, 192]           36864
vae.decoder.egnn.e_block_6.gcl_equiv.coord_mlp.2.bias                      [192]             192
vae.decoder.egnn.e_block_6.gcl_equiv.coord_mlp.4.weight                   [1, 192]             192
vae.decoder.egnn.e_block_7.gcl_0.edge_mlp.0.weight                 [192, 386]           74112
vae.decoder.egnn.e_block_7.gcl_0.edge_mlp.0.bias                      [192]             192
vae.decoder.egnn.e_block_7.gcl_0.edge_mlp.2.weight                 [192, 192]           36864
vae.decoder.egnn.e_block_7.gcl_0.edge_mlp.2.bias                      [192]             192
vae.decoder.egnn.e_block_7.gcl_0.node_mlp.0.weight                 [192, 384]           73728
vae.decoder.egnn.e_block_7.gcl_0.node_mlp.0.bias                      [192]             192
vae.decoder.egnn.e_block_7.gcl_0.node_mlp.2.weight                 [192, 192]           36864
vae.decoder.egnn.e_block_7.gcl_0.node_mlp.2.bias                      [192]             192
vae.decoder.egnn.e_block_7.gcl_0.att_mlp.0.weight                   [1, 192]             192
vae.decoder.egnn.e_block_7.gcl_0.att_mlp.0.bias                        [1]               1
vae.decoder.egnn.e_block_7.gcl_equiv.coord_mlp.0.weight                 [192, 386]           74112
vae.decoder.egnn.e_block_7.gcl_equiv.coord_mlp.0.bias                      [192]             192
vae.decoder.egnn.e_block_7.gcl_equiv.coord_mlp.2.weight                 [192, 192]           36864
vae.decoder.egnn.e_block_7.gcl_equiv.coord_mlp.2.bias                      [192]             192
vae.decoder.egnn.e_block_7.gcl_equiv.coord_mlp.4.weight                   [1, 192]             192
vae.decoder.egnn.e_block_8.gcl_0.edge_mlp.0.weight                 [192, 386]           74112
vae.decoder.egnn.e_block_8.gcl_0.edge_mlp.0.bias                      [192]             192
vae.decoder.egnn.e_block_8.gcl_0.edge_mlp.2.weight                 [192, 192]           36864
vae.decoder.egnn.e_block_8.gcl_0.edge_mlp.2.bias                      [192]             192
vae.decoder.egnn.e_block_8.gcl_0.node_mlp.0.weight                 [192, 384]           73728
vae.decoder.egnn.e_block_8.gcl_0.node_mlp.0.bias                      [192]             192
vae.decoder.egnn.e_block_8.gcl_0.node_mlp.2.weight                 [192, 192]           36864
vae.decoder.egnn.e_block_8.gcl_0.node_mlp.2.bias                      [192]             192
vae.decoder.egnn.e_block_8.gcl_0.att_mlp.0.weight                   [1, 192]             192
vae.decoder.egnn.e_block_8.gcl_0.att_mlp.0.bias                        [1]               1
vae.decoder.egnn.e_block_8.gcl_equiv.coord_mlp.0.weight                 [192, 386]           74112
vae.decoder.egnn.e_block_8.gcl_equiv.coord_mlp.0.bias                      [192]             192
vae.decoder.egnn.e_block_8.gcl_equiv.coord_mlp.2.weight                 [192, 192]           36864
vae.decoder.egnn.e_block_8.gcl_equiv.coord_mlp.2.bias                      [192]             192
vae.decoder.egnn.e_block_8.gcl_equiv.coord_mlp.4.weight                   [1, 192]             192
----------------------------------------------------------------
Total params: 6427463
Trainable params: 6426462
Non-trainable params: 1001
